source,target,index,start_x,start_y,start_z,rotate,rotation_plane,rotation_degree_idx,coverage,compartment
example_data_LR.h5,example_data_HR.h5,0,15,11,2,0,0,0,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,1,1,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,1,2,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,1,3,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,2,1,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,2,2,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,2,3,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,3,1,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,3,2,0.403,example
example_data_LR.h5,example_data_HR.h5,0,15,11,2,1,3,3,0.403,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,0,0,0,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,1,1,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,1,2,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,1,3,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,2,1,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,2,2,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,2,3,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,3,1,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,3,2,0.145,example
example_data_LR.h5,example_data_HR.h5,0,20,24,11,1,3,3,0.145,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,0,0,0,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,1,1,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,1,2,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,1,3,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,2,1,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,2,2,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,2,3,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,3,1,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,3,2,0.475,example
example_data_LR.h5,example_data_HR.h5,0,16,9,4,1,3,3,0.475,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,0,0,0,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,1,1,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,1,2,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,1,3,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,2,1,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,2,2,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,2,3,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,3,1,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,3,2,0.249,example
example_data_LR.h5,example_data_HR.h5,0,20,13,4,1,3,3,0.249,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,0,0,0,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,1,1,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,1,2,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,1,3,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,2,1,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,2,2,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,2,3,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,3,1,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,3,2,0.369,example
example_data_LR.h5,example_data_HR.h5,0,5,11,9,1,3,3,0.369,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,0,0,0,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,1,1,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,1,2,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,1,3,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,2,1,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,2,2,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,2,3,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,3,1,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,3,2,0.345,example
example_data_LR.h5,example_data_HR.h5,0,19,1,3,1,3,3,0.345,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,0,0,0,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,1,1,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,1,2,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,1,3,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,2,1,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,2,2,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,2,3,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,3,1,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,3,2,0.523,example
example_data_LR.h5,example_data_HR.h5,0,10,13,17,1,3,3,0.523,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,0,0,0,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,1,1,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,1,2,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,1,3,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,2,1,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,2,2,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,2,3,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,3,1,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,3,2,0.171,example
example_data_LR.h5,example_data_HR.h5,0,20,4,10,1,3,3,0.171,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,0,0,0,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,1,1,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,1,2,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,1,3,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,2,1,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,2,2,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,2,3,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,3,1,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,3,2,0.384,example
example_data_LR.h5,example_data_HR.h5,0,5,18,9,1,3,3,0.384,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,0,0,0,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,1,1,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,1,2,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,1,3,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,2,1,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,2,2,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,2,3,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,3,1,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,3,2,0.22,example
example_data_LR.h5,example_data_HR.h5,0,18,10,11,1,3,3,0.22,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,0,0,0,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,1,1,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,1,2,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,1,3,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,2,1,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,2,2,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,2,3,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,3,1,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,3,2,0.49,example
example_data_LR.h5,example_data_HR.h5,1,4,3,21,1,3,3,0.49,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,0,0,0,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,1,1,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,1,2,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,1,3,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,2,1,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,2,2,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,2,3,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,3,1,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,3,2,0.222,example
example_data_LR.h5,example_data_HR.h5,1,9,10,25,1,3,3,0.222,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,0,0,0,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,1,1,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,1,2,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,1,3,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,2,1,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,2,2,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,2,3,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,3,1,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,3,2,0.487,example
example_data_LR.h5,example_data_HR.h5,1,10,22,6,1,3,3,0.487,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,0,0,0,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,1,1,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,1,2,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,1,3,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,2,1,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,2,2,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,2,3,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,3,1,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,3,2,0.336,example
example_data_LR.h5,example_data_HR.h5,1,1,12,21,1,3,3,0.336,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,0,0,0,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,1,1,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,1,2,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,1,3,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,2,1,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,2,2,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,2,3,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,3,1,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,3,2,0.154,example
example_data_LR.h5,example_data_HR.h5,1,3,16,23,1,3,3,0.154,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,0,0,0,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,1,1,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,1,2,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,1,3,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,2,1,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,2,2,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,2,3,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,3,1,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,3,2,0.108,example
example_data_LR.h5,example_data_HR.h5,1,1,7,10,1,3,3,0.108,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,0,0,0,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,1,1,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,1,2,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,1,3,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,2,1,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,2,2,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,2,3,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,3,1,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,3,2,0.343,example
example_data_LR.h5,example_data_HR.h5,1,14,19,1,1,3,3,0.343,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,0,0,0,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,1,1,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,1,2,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,1,3,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,2,1,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,2,2,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,2,3,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,3,1,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,3,2,0.262,example
example_data_LR.h5,example_data_HR.h5,1,5,20,14,1,3,3,0.262,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,0,0,0,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,1,1,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,1,2,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,1,3,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,2,1,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,2,2,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,2,3,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,3,1,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,3,2,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,13,8,1,3,3,0.657,example
example_data_LR.h5,example_data_HR.h5,1,10,24,14,0,0,0,0.181,example
example_data_LR.h5,example_data_HR.h5,1,10,24,14,1,1,1,0.181,example
example_data_LR.h5,example_data_HR.h5,1,10,24,14,1,1,2,0.181,example
example_data_LR.h5,example_data_HR.h5,1,10,24,14,1,1,3,0.181,example
